,Unnamed: 0,LMPType,Facility ID,Temperature Req,Generator,Modules,Facility Demand,Profit,Annualized Capital Cost,Fixed Cost,Variable Cost,Fuel Cost,Start-Up Cost,Electric Wholesale Revenues,Industry,NGBE_Cost,Energy Breakeven Price [$/GJ]
152,4,ERCOT_2020_HubAVG.csv,1011834,260,PBR-HTGR,6,1042.378699,-270086684.3,-176735653.3,-48000000,0,-53828968.07,-240000,8717936.985,Other Basic Organic Chemicals,6.893197126,8.216200685
162,4,ERCOT_2020_HubAVG.csv,1010636,260,PBR-HTGR,1,187.4577094,-46246207.77,-29455942.21,-8000000,0,-8751949.595,-40000,1684.034382,Other Basic Organic Chemicals,6.56320354,7.822871801
171,3,ERCOT_2020_HubAVG.csv,1003899,260,Microreactor,2,29.47732904,-14728041.04,-11772577.42,-3542022,0,0,-6700,593258.3776,Other Basic Organic Chemicals,13.2922931,15.84346794
181,3,ERCOT_2020_HubAVG.csv,1006656,260,Microreactor,1,2.947494812,-6660199.211,-5886288.708,-1771011,0,0,-3350,1000450.497,Other Basic Organic Chemicals,60.1142209,71.65187559
191,3,ERCOT_2020_HubAVG.csv,1005467,260,Microreactor,1,15.83564643,-7429533.842,-5886288.708,-1771011,0,0,-3350,231115.8662,Other Basic Organic Chemicals,12.48155864,14.87713013
201,3,ERCOT_2020_HubAVG.csv,1005523,260,Microreactor,1,13.81264071,-7308721.94,-5886288.708,-1771011,0,0,-3350,351927.7681,Other Basic Organic Chemicals,14.07692437,16.7786926
211,3,ERCOT_2020_HubAVG.csv,1005947,260,Microreactor,2,20.25936307,-14181731.43,-11772577.42,-3542022,0,0,-6700,1139567.984,Other Basic Organic Chemicals,18.62286615,22.19713187
221,3,ERCOT_2020_HubAVG.csv,1003402,260,Microreactor,2,29.75677464,-14744731.7,-11772577.42,-3542022,0,0,-6700,576567.7133,Other Basic Organic Chemicals,13.18238743,15.7124682
231,3,ERCOT_2020_HubAVG.csv,1004732,260,Microreactor,2,32.67492059,-14919027.55,-11772577.42,-3542022,0,0,-6700,402271.8629,Other Basic Organic Chemicals,12.1469999,14.47835991
241,3,ERCOT_2020_HubAVG.csv,1011907,260,Microreactor,1,14.15613425,-7329240.211,-5886288.708,-1771011,0,0,-3350,331409.4975,Other Basic Organic Chemicals,13.773913,16.41752461
251,3,ERCOT_2020_HubAVG.csv,1000619,260,Microreactor,1,13.26598591,-7276077.657,-5886288.708,-1771011,0,0,-3350,384572.0512,Other Basic Organic Chemicals,14.59153048,17.39206648
261,3,ERCOT_2020_HubAVG.csv,1006644,260,Microreactor,2,23.64713382,-14379924.39,-11772577.42,-3542022,0,0,-6700,941375.022,Other Basic Organic Chemicals,16.17786274,19.28286171
271,3,ERCOT_2020_HubAVG.csv,1002993,260,Microreactor,2,25.54745098,-14493363.66,-11772577.42,-3542022,0,0,-6700,827935.7612,Other Basic Organic Chemicals,15.09262104,17.98933079
281,3,ERCOT_2020_HubAVG.csv,1009064,260,Microreactor,1,18.30475965,-7642177.256,-5886288.708,-1771011,0,0,-3350,18472.45207,Other Basic Organic Chemicals,11.10698355,13.23873439
291,3,ERCOT_2020_HubAVG.csv,1004018,260,Microreactor,2,25.24208513,-14475128.54,-11772577.42,-3542022,0,0,-6700,846170.8782,Other Basic Organic Chemicals,15.25598505,18.18404908
301,3,ERCOT_2020_HubAVG.csv,1002003,260,Microreactor,1,2.272600135,-6619931.255,-5886288.708,-1771011,0,0,-3350,1040718.453,Other Basic Organic Chemicals,77.49496816,92.3684901
311,3,ERCOT_2020_HubAVG.csv,1000022,260,Microreactor,1,13.34275771,-7280662.58,-5886288.708,-1771011,0,0,-3350,379987.1286,Other Basic Organic Chemicals,14.51671522,17.30289202
321,3,ERCOT_2020_HubAVG.csv,1007425,260,Microreactor,1,2.854828216,-6654670.209,-5886288.708,-1771011,0,0,-3350,1005979.499,Other Basic Organic Chemicals,62.01398073,73.91625418
331,3,ERCOT_2020_HubAVG.csv,1000620,260,Microreactor,3,46.93683124,-22254566.56,-17658866.13,-5313033,0,0,-10050,727382.5669,Other Basic Organic Chemicals,12.6138722,15.03483847
339,1,ERCOT_2020_HubAVG.csv,1002380,850,HTGR,1,146.1517601,-129191203.5,-99121276.32,-26896000,0,-17374520.06,-82000,14282592.89,Nitrogenous Fertilizers,16.98119508,28.02994768
346,3,ERCOT_2020_HubAVG.csv,1002380,260,Microreactor,5,73.82923964,-37236130.49,-29431443.54,-8855055,0,0,-16750,1067118.052,Nitrogenous Fertilizers,13.4177347,15.99298541
350,2,ERCOT_2020_HubAVG.csv,1002040,177,iMSR,7,1542.190502,-460804696.1,-325393150.1,-83895000,-4201522.994,-88921032.64,-705000,42311009.63,Alkalies and Chlorine,8.259942687,9.474848301
357,4,ERCOT_2020_HubAVG.csv,1001713,177,PBR-HTGR,4,734.4612555,-182718865.9,-117823768.8,-32000000,0,-36310776.41,-160000,3575679.386,Alkalies and Chlorine,6.877215951,7.888744552
361,3,ERCOT_2020_HubAVG.csv,1002395,120,Microreactor,1,0,-6492351.859,-5886288.708,-1771011,0,0,-6700,1171647.849,Lime,inf,inf
371,3,ERCOT_2020_HubAVG.csv,1002403,120,Microreactor,1,0,-6492351.859,-5886288.708,-1771011,0,0,-6700,1171647.849,Lime,inf,inf
381,3,ERCOT_2020_HubAVG.csv,1002432,120,Microreactor,1,0,-6492351.859,-5886288.708,-1771011,0,0,-6700,1171647.849,Lime,inf,inf
394,1,ERCOT_2020_HubAVG.csv,1011719,600,HTGR,1,50.2064029,-120124342.1,-99121276.32,-26896000,0,-17014639.73,-82000,22989573.91,Petroleum Refineries,53.45869714,75.86916572
412,4,ERCOT_2020_HubAVG.csv,1006264,260,PBR-HTGR,1,85.40568886,-39255738.11,-29455942.21,-8000000,0,-8602836.207,-40000,6843040.307,Plastics Materials and Resins,12.22811179,14.57503951
416,3,ERCOT_2020_HubAVG.csv,1006264,291,Microreactor,1,2.407492321,-6643008.35,-5886288.708,-1771011,0,0,-3350,1017641.359,Plastics Materials and Resins,72.33604937,87.49702381
421,3,ERCOT_2020_HubAVG.csv,1004227,260,Microreactor,1,2.183407957,-6628239.397,-5886288.708,-1771011,0,0,-3350,1032410.312,Plastics Materials and Resins,80.76186696,96.26240109
426,3,ERCOT_2020_HubAVG.csv,1004227,291,Microreactor,1,0.466248574,-6515064.851,-5886288.708,-1771011,0,0,-3350,1145584.857,Plastics Materials and Resins,366.3161995,443.0927249
431,3,ERCOT_2020_HubAVG.csv,1011974,260,Microreactor,2,12.9954549,-13825461.18,-11772577.42,-3542022,0,0,-6700,1495838.236,Plastics Materials and Resins,28.30291671,33.73506363
436,3,ERCOT_2020_HubAVG.csv,1011974,291,Microreactor,1,2.775071099,-6667234.733,-5886288.708,-1771011,0,0,-3350,993414.9756,Plastics Materials and Resins,62.9834621,76.18421977
441,3,ERCOT_2020_HubAVG.csv,1011708,260,Microreactor,1,0.009692255,-6484974.136,-5886288.708,-1771011,0,0,-3350,1175675.572,Plastics Materials and Resins,17800.26466,21216.6494
446,3,ERCOT_2020_HubAVG.csv,1011708,291,Microreactor,1,0.0020697,-6484471.749,-5886288.708,-1771011,0,0,-3350,1176177.96,Plastics Materials and Resins,82133.82235,99348.3204
451,3,ERCOT_2020_HubAVG.csv,1003944,260,Microreactor,2,15.66861845,-14033622.43,-11772577.42,-3542022,0,0,-6700,1287676.982,Plastics Materials and Resins,23.82770067,28.40092441
456,3,ERCOT_2020_HubAVG.csv,1003944,291,Microreactor,1,3.345902899,-6704857.117,-5886288.708,-1771011,0,0,-3350,955792.5917,Plastics Materials and Resins,52.5328657,63.54327393
461,3,ERCOT_2020_HubAVG.csv,1001712,260,Microreactor,1,0.016417494,-6485417.383,-5886288.708,-1771011,0,0,-3350,1175232.325,Plastics Materials and Resins,10509.30826,12526.34795
466,3,ERCOT_2020_HubAVG.csv,1001712,291,Microreactor,1,0.003505819,-6484566.4,-5886288.708,-1771011,0,0,-3350,1176083.308,Plastics Materials and Resins,48489.34968,58652.27394
471,3,ERCOT_2020_HubAVG.csv,1006120,260,Microreactor,2,15.57532137,-14027996.3,-11772577.42,-3542022,0,0,-6700,1293303.118,Plastics Materials and Resins,23.96082013,28.55959335
476,3,ERCOT_2020_HubAVG.csv,1006120,291,Microreactor,1,3.153285603,-6692162.095,-5886288.708,-1771011,0,0,-3350,968487.613,Plastics Materials and Resins,55.63627462,67.29712898
481,3,ERCOT_2020_HubAVG.csv,1006274,260,Microreactor,2,16.41896702,-14050812.42,-11772577.42,-3542022,0,0,-6700,1270486.994,Plastics Materials and Resins,22.76662522,27.13619795
